"article_id","infraction_desc","categorie_vehicule","amende_min_dh","amende_max_dh","points_retrait","peine_prison","recidive_prevue","suspension_permis","immobilisation_vehicule","interdiction_conduire","mots_cles","role_paragraphe_regles","cluster_thematique_ml","cluster_id","texte_apercu"
"1","لا يجوز لاي شخص ان يسوق مركبة ذات محرك او مجموعة مركبات على الطريق العمومية","tous_vehicules","","","","","non","non","non","non","","interdiction","circulation_routière","1","لا يجوز لأي شخص أن يسوق مركبة ذات محرك أو مجموعة مركبات على الطريق العمومية ما لم يكن حاصلا على رخصة للسياقة سارية الصلاحية ومسلمة من قبل الإدارة، تناسب صنف المركبة أو مجموعة المركبات التي يسوقها."
"2","استثناء من احكام المادة الاولى اعلاه :
1 - يجوز للمغاربة القاطنين بالخارج ان يسوقوا، داخل التراب الوطني، خلال مدة اقصاها
سنة واحدة ابتداء من اقامتهم بالمغرب، بواسطة رخصة السياقة المسلمة لهم بالخارج سارية
الصلاحية ؛
2 - يجوز للسايقين من جنسية اجنبية، ان يسوقوا بواسطة رخصة السياقة المسلمة لهم بالخارج
","non_spécifié","","","","","non","non","non","non","permis","autre","permis_conduite","6","استثناء من أحكام المادة الأولى أعلاه : 1  - يجوز للمغاربة القاطنين بالخارج أن يسوقوا، داخل التراب الوطني، خلال مدة أقصاها سنة واحدة ابتداء من إقامتهم بالمغرب، بواسطة رخصة السياقة المسلمة لهم بالخارج س"
"3","يجب على السايقين الحاصلين على رخصة سياقة مسلمة بالخارج، بعد انصرام المدة المشار اليها","non_spécifié","","","","","non","non","non","non","permis","obligation","permis_conduite","6","يجب على السائقين الحاصلين على رخصة سياقة مسلمة بالخارج، بعد انصرام المدة المشار إليها في المادة السابقة، أن يتقدموا لامتحانات الحصول على رخصة السياقة المغربية، أو أن يطلبوا تبديل رخصتهم للسياقة تطبيقا"
"4","في حالة السير الدولي ووفقا للاتفاقية الدولية للسير على الطرق، تسلم الهييات الموهلة لذلك من
قبل الادارة، رخصة دولية للسياقة موضوعة في دفتر خاص.
يجوز للسايقين من جنسية اجنبية، الحاصلين على رخصة دولية للسياقة، السياقة على التراب
الوطني خلال مدة صلاحية الرخصة المذكورة دون ان تتجاوز المدة المشار اليها في","non_spécifié","","","","","non","non","non","non","dépassement","autre","permis_conduite","6","في حالة السير الدولي ووفقا للاتفاقية الدولية للسير على الطرق، تسلم الهيئات المؤهلة لذلك من قبل الإدارة، رخصة دولية للسياقة موضوعة في دفتر خاص. يجوز للسائقين من جنسية أجنبية، الحاصلين على رخصة دولية لل"
"2","اعلاه.","non_spécifié","","","","","non","non","non","non","","autre","cluster_5","5","أعلاه."
"5","116.14 1.16.106 بتاريخ 13 من
شوال 1437 ( 18 يوليو 2016 )، ج.ر عدد 6490 بتاريخ 7 ذي القعدة 1437 ( اغسطس : )، ص )
استثناء من احكام المادة الاولى اعلاه، يجوز للسايقين العسكريين الحاصلين على اجازة السياقة
المسلمة من قبل السلطة التابعين لها، من اجل سياقة المركبات العسكرية :
1 - ان يسوقوا، على الطريق العم","non_spécifié","","","","","non","non","non","non","alcool","autre","cluster_7","7","116.14 1.16.106  بتاريخ 13  من شوال 1437  (  18  يوليو 2016  )، ج.ر عدد 6490 بتاريخ 7  ذي القعدة 1437 (   أغسطس  : )، ص ) استثناء من أحكام المادة الأولى أعلاه، يجوز للسائقين العسكريين الحاصلين على إجا"
"10","اسفله شريطة استيفايهم الشروط المحددة في البندين 1 و 2 من","non_spécifié","","","","","non","non","non","non","","autre","contrôle_technique","8","أسفله شريطة استيفائهم الشروط المحددة في البندين 1  و 2  من"
"11","اسفله.
2 الامانة العامة للحكومة
الصادر بتنفيذه الظهير الشريف رقم (غيرت وتممت بموجب المادة الاولى من القانون رقم 5866 2016 11
الامانة العامة للحكومة","non_spécifié","","","","","non","non","non","non","","autre","cluster_0","0","أسفله. 2 الأمانة العامة للحكومة الصادر بتنفيذه الظهير الشريف رقم (غيرت وتممت بموجب المادة الأولى من القانون رقم 5866 2016 11 الأمانة العامة للحكومة"
"6","لا يجوز لاي كان سياقة مركبة فلاحية ذات محرك او مركبة غابوية ذات محرك او اريبة للاشغال","agricole","","","","","non","non","non","non","permis","interdiction","circulation_routière","1","لا يجوز لأي كان سياقة مركبة فلاحية ذات محرك أو مركبة غابوية ذات محرك أو أريبة للأشغال العمومية أو أريبة خاصة ذات محرك، على الطريق العمومية، مالم يكن حاصلا على رخصة للسياقة مسلمة طبقا للمادة الأولى أعل"
"7","116.14 1.16.106 بتاريخ 13 من
شوال 1437 ( 18 يوليو 2016 )، ج.ر عدد 6490 بتاريخ 7 ذي القعدة 1437 ( اغسطس : )، ص )
يحدد صنف رخصة السياقة حسب صنف او اصناف المركبة التي يمكن سياقتها.
( » ام « : اصناف رخصة السياقة هي AM ا « ) و ( » A1 ( » ا « ) و ( » ب « ) و B ( » ج « ) و C ( » د « ) و D هـ « ) و
(( ») (ب","agricole","","","","","non","non","non","non","dépassement|permis","autre","cluster_0","0","116.14 1.16.106  بتاريخ 13  من شوال 1437  (  18  يوليو 2016  )، ج.ر عدد 6490  بتاريخ 7  ذي القعدة 1437 (   أغسطس  : )، ص ) يحدد صنف رخصة السياقة حسب صنف أو أصناف المركبة التي يمكن سياقتها. ( » أم « :"
